com.samsung.shealth.stand_day_summary,7006003,2
create_sh_ver,stand_time,modify_sh_ver,update_time,create_time,deviceuuid,pkg_name,datauuid,day_time
,0,,2020-01-31 18:31:46.490,2020-01-31 18:31:46.489,S7Wp0spWno,com.sec.android.app.shealth,d702c7fa-afed-ffe0-9cde-3291b4f12ea9,2020-02-01 00:00:00.000,
,4194304,,2020-01-18 16:49:55.318,2020-01-17 18:34:13.790,S7Wp0spWno,com.sec.android.app.shealth,64ab56fc-a2fc-2d53-b672-e37fbb377ca4,2020-01-18 00:00:00.000,
,32896,,2020-01-13 10:12:07.352,2020-01-12 18:35:05.196,S7Wp0spWno,com.sec.android.app.shealth,a967fcd7-ab9e-9589-8598-acaa100ef83a,2020-01-13 00:00:00.000,
,274432,,2020-02-03 12:32:37.339,2020-02-02 18:34:50.327,S7Wp0spWno,com.sec.android.app.shealth,9ea82801-dad8-cc13-d474-03ab6a1744b4,2020-02-03 00:00:00.000,
,2097152,,2020-01-26 15:44:06.788,2020-01-25 18:31:24.598,S7Wp0spWno,com.sec.android.app.shealth,2287ce31-3c1e-35d6-228b-185d1afddda2,2020-01-26 00:00:00.000,
,73728,,2020-01-23 10:44:42.445,2020-01-22 18:30:49.262,S7Wp0spWno,com.sec.android.app.shealth,a332a822-8f77-26cd-aa26-ee5c970f8225,2020-01-23 00:00:00.000,
,196608,,2020-01-14 12:13:10.185,2020-01-13 19:43:49.147,S7Wp0spWno,com.sec.android.app.shealth,ed7dce0b-1b21-5c7b-0dd9-94bf0deb8f4d,2020-01-14 00:00:00.000,
,67584,,2020-01-22 10:54:17.332,2020-01-21 19:15:08.394,S7Wp0spWno,com.sec.android.app.shealth,40895f0d-0b44-19ee-e4e1-d290ab11c7c2,2020-01-22 00:00:00.000,
,2097152,,2020-01-17 15:35:30.438,2020-01-16 18:33:18.239,S7Wp0spWno,com.sec.android.app.shealth,a2d8a87f-f22c-0128-a79c-14ab5f8472ab,2020-01-17 00:00:00.000,
,2130048,,2020-01-21 15:38:09.358,2020-01-20 18:34:59.273,S7Wp0spWno,com.sec.android.app.shealth,4057d571-30b0-6ffd-e911-29c68b52f87b,2020-01-21 00:00:00.000,
,1187840,,2020-01-28 15:29:43.334,2020-01-27 18:55:17.023,S7Wp0spWno,com.sec.android.app.shealth,4d5b1a40-5d92-63f8-57f1-38943a3d9100,2020-01-28 00:00:00.000,
,4734976,,2020-01-31 17:08:05.338,2020-01-30 18:30:41.913,S7Wp0spWno,com.sec.android.app.shealth,a936b056-b39d-bb7c-e716-e188da296553,2020-01-31 00:00:00.000,
,65536,,2020-02-11 11:24:33.454,2020-02-10 18:32:00.358,S7Wp0spWno,com.sec.android.app.shealth,cd282db8-a0c6-5877-bc5d-65f9ca08b3f2,2020-02-11 00:00:00.000,
,256,,2020-01-19 02:39:20.268,2020-01-18 18:55:06.811,S7Wp0spWno,com.sec.android.app.shealth,c5321210-db63-4d7e-36f1-d2d69358eb0d,2020-01-19 00:00:00.000,
,139264,,2020-01-30 11:58:51.344,2020-01-29 18:30:23.078,S7Wp0spWno,com.sec.android.app.shealth,6c2c17b1-2a34-1084-9c1f-9179d4c6e924,2020-01-30 00:00:00.000,
,2097152,,2020-01-15 16:02:54.304,2020-01-14 18:33:20.728,S7Wp0spWno,com.sec.android.app.shealth,204155eb-d6e7-06e1-c1ee-f5d406d317e8,2020-01-15 00:00:00.000,
,0,,2021-03-19 18:33:08.601,2021-03-19 18:33:08.601,S7Wp0spWno,com.sec.android.app.shealth,0ba74438-7004-7cc6-3a8b-28ba53701d42,2021-03-20 00:00:00.000,
,0,,2021-03-13 18:37:55.684,2021-03-13 18:37:55.684,S7Wp0spWno,com.sec.android.app.shealth,52b511f4-173c-ffb4-f517-93c9d19b33ef,2021-03-14 00:00:00.000,
,2,,2021-03-11 20:16:15.637,2021-03-11 18:33:33.200,S7Wp0spWno,com.sec.android.app.shealth,d9e11fa6-b7c5-6dd4-be4b-53eeb29ac57e,2021-03-12 00:00:00.000,
