com.samsung.shealth.calories_burned.details,7006003,4
active_calories_goal,version,extra_data,exercise_calories,total_exercise_calories,com.samsung.shealth.calories_burned.create_sh_ver,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.modify_sh_ver,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.deviceuuid,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.day_time
,,fa54c7b3-5c5c-44c0-bbbe-104da5b1c35f.extra_data.json,,,,0.0,0,1610.3641,,2019-09-30 23:05:52.975,2019-09-30 23:05:52.975,0.0,e/aPUWpNiJ,com.sec.android.app.shealth,fa54c7b3-5c5c-44c0-bbbe-104da5b1c35f,2019-09-18 00:00:00.000,
,,f968f222-e8c7-4815-884f-073854360dab.extra_data.json,,,,0.0,0,1610.3641,,2019-09-30 23:05:53.069,2019-09-30 23:05:53.069,0.0,e/aPUWpNiJ,com.sec.android.app.shealth,f968f222-e8c7-4815-884f-073854360dab,2019-09-22 00:00:00.000,
,,21abd27d-b1c4-4562-a65a-7d4e27dee2b1.extra_data.json,,,,0.0,0,1610.3641,,2019-09-30 23:05:53.224,2019-09-30 23:05:53.224,0.0,e/aPUWpNiJ,com.sec.android.app.shealth,21abd27d-b1c4-4562-a65a-7d4e27dee2b1,2019-09-27 00:00:00.000,
,,68b29874-6b89-4f2a-9aff-38949d35a931.extra_data.json,,,,0.0,418209,1602.5693,,2019-09-30 23:05:53.318,2019-09-30 23:05:53.318,19.960001,e/aPUWpNiJ,com.sec.android.app.shealth,68b29874-6b89-4f2a-9aff-38949d35a931,2019-09-30 00:00:00.000,
,,43f02ebd-adfe-4b5e-b80c-6ea2e56b32f0.extra_data.json,,,,0.0,0,1610.3641,,2019-09-30 23:05:53.272,2019-09-30 23:05:53.272,0.0,e/aPUWpNiJ,com.sec.android.app.shealth,43f02ebd-adfe-4b5e-b80c-6ea2e56b32f0,2019-09-29 00:00:00.000,
,,74fb46cd-1232-49a3-9f35-2573b5d29a4d.extra_data.json,,,,0.0,0,1610.3641,,2019-09-30 23:05:52.810,2019-09-30 23:05:52.810,0.0,e/aPUWpNiJ,com.sec.android.app.shealth,74fb46cd-1232-49a3-9f35-2573b5d29a4d,2019-09-13 00:00:00.000,
,,4919cc76-7299-4d1b-a0f2-75b91b68e8fa.extra_data.json,,,,0.0,5536713,1507.1682,,2019-10-02 03:05:59.053,2019-09-30 23:05:41.248,293.31064,e/aPUWpNiJ,com.sec.android.app.shealth,4919cc76-7299-4d1b-a0f2-75b91b68e8fa,2019-10-01 00:00:00.000,
,,ffddcc2b-64e9-4be7-99dc-4df8d377757e.extra_data.json,,,,0.0,3297241,1548.9086,,2019-10-24 08:25:07.382,2019-10-24 08:24:47.605,169.57004,e/aPUWpNiJ,com.sec.android.app.shealth,ffddcc2b-64e9-4be7-99dc-4df8d377757e,2019-10-23 00:00:00.000,
,,4ea850c2-254f-4c04-8fba-d0d011aab3b8.extra_data.json,,,,0.0,4292209,1530.3639,,2019-10-24 08:26:23.561,2019-10-24 08:24:47.553,216.57993,e/aPUWpNiJ,com.sec.android.app.shealth,4ea850c2-254f-4c04-8fba-d0d011aab3b8,2019-10-22 00:00:00.000,
,,64288d49-2736-45b8-8866-421b48ea7078.extra_data.json,,,,0.0,5041566,1516.397,,2019-10-24 08:26:17.411,2019-10-24 08:24:47.425,246.71002,e/aPUWpNiJ,com.sec.android.app.shealth,64288d49-2736-45b8-8866-421b48ea7078,2019-10-18 00:00:00.000,
